ref='/players/playerpage/2901324?o_pos=U'data-o_pos="U">Shohei Ohtani, 2901324?o_pos=U'data-o_pos="U">Shohei Ohtan, P|UT
Deacon Liput, 2837134, SS|UT
Cristian Santana, 2910606, 3B|UT
Dakody Clemmer, 3158078, P
Joshua Kuroda-Grauer, 29644435, SS|UT
Alex Murphy, 2447469, C|UT
Milan Tolentino, 26615351, SS|UT
Evan Grills, 3088371, P
Jose Monzon, 29686865, SS|UT
Cade Kuehler, 29295941, P
Neil Holland, 2122175, P
Luis Ramirez, 2780350, P
Werner Blakely, 26615352, OF|UT
Michael Morales, 26911809, P
Sal Stewart, 29075767, 2B|UT
L.J. Mazzilli, 2226040, 2B|UT
Noe Toribio, 2829156, P
Kyle McMyne, 2120610, P
Cole Johnson, 2171707, P
Brady Lindsly, 29082395, C|UT
Peyton Remy, 2837383, P
Abdias De La Cruz, 29077583, OF|UT
Tyler Marlette, 2114647, C|UT
Cadyn Grenier, 2931955, SS|UT
Chuck Moorman, 2049032, C|UT
Isiah Gilliam, 3094416, OF|UT
Erlin Cerda, 2801261, 3B|UT
Gene Cone, 2759731, OF|UT
Miguel Bleis, 26643925, OF|UT
Dylan Lesko, 28920018, P
Jose Acuna, 29675135, P
Brian Hendry, 29644528, P
Jackson Feltner, 29683467, 1B|UT
Brett Hanewich, 2836959, P
Leo Heras, 2114139, OF|UT
Colby Suggs, 2066838, P
Sheng-Ping Chen, 29342450, SS|UT
Raul Rivas, 2921527, 2B|UT
Kelly Secrest, 2825853, P
Juan Negret, 2829088, OF|UT
Brady Whalen, 29077589, 1B|UT
Mason Fox, 26635148, P
Brad Lord, 29632458, P
Roldani Baldwin, 2821402, C|UT
Grant Holman, 26911803, P
Daniel Martinez, 29342431, P
Felipe De La Cruz, 29676968, P
Dan Swain, 2837583, OF|UT
Zach Agnos, 29360014, P
Joe Rogers, 2227625, P
Satchel McElroy, 2804023, OF|UT
Tyler Frank, 2931943, SS|UT
Brad Allen, 2804218, P
Rolddy Munoz, 29342432, P
Joseph Astacio, 2228204, 3B|UT
Anthony Giansanti, 2119622, OF|UT
Andrew Sohn, 2227900, SS|UT
Luis Silverio, 2746789, OF|UT
Drew Compton, 29692324, 3B|UT
Edison Frias, 2615373, P
Ryan Conroy, 2932650, P
Ryan Scott, 2825845, C|UT
Blake Weiman, 2837671, P
Austin Rei, 2912182, C|UT
Franny Cobos, 28839912, P
Malcom Culver, 2118830, P
Carter Aldrete, 28839877, 2B|UT
Michael Gigliotti, 2836913, OF|UT
Gabriel Yanez, 2873183, P
Dominic Pipkin, 2933015, P
Elvis Alvarado, 2829296, P
Jose Betances, 28839911, P
Luis Avalo, 2821352, C|UT
Isaac Ballou, 2119661, OF|UT
Devin Hairston, 2836952, SS|UT
Anthony Molina, 29078780, P
Nathan Bannister, 2821409, P
Joe Pistorese, 2804688, P
David Holman, 2823433, P
Angel Pierre, 29342433, 2B|UT
Brock Selvidge, 26911801, P
Jacob Evans, 2211743, P
Ryan Ignoffo, 29674815, C|UT
Jiovanni Mier, 1739605, SS|UT
Renae Martinez, 2837177, C|UT
Nick Davila, 29342246, P
Gabriel Gonzalez, 26913040, OF|UT
Aaron Antonini, 3157471, C|UT
Cord Sandberg, 2118138, OF|UT
Nick Schulz, 2227498, OF|UT
Robert Tyler, 2826336, P
Izaac Pacheco, 26911685, 3B|UT
Joseph Zanghi, 2826721, P
Tanner Myatt, 2932970, P
Joe Shaw, 2825899, P
Angel Reyes, 2933042, P
Cristofer Melendez, 28838280, P
Scott Griggs, 2750313, P
Eliezer Zambrano, 2227186, C|UT
Henry Castillo, 2228498, 2B|UT
Gavin Collins, 2921434, C|UT
Santiago Garrido, 2117138, P
Christian Charle, 29089618, P
Kellon Lindsey, 29426057, SS|UT
Josh Roberson, 2837405, P
Michael Hobbs, 29342274, P
Erick Meza, 2227222, 1B|UT
Isan Castillo, 29087581, SS|UT
Luis Reyes, 3152857, P
Kyle Kubat, 3152809, P
Hunter Markwardt, 28840773, OF|UT
Shawn Pleffner, 2170498, 1B|UT
Andrew Russell, 2049585, P
Dan Hammer, 29342396, P
Garrison Schwartz, 3094344, OF|UT
Rafael Flores, 29087582, C|UT
R.C. Orlan, 2824775, P
Brett Callahan, 29683706, OF|UT
Eris Filpo, 2822714, P
Dylan Unsworth, 2226788, P
Ryan Picollo, 29686500, OF|UT
Daury Torrez, 2739965, P
Roberto Ramos, 2171677, 1B|UT
Parker Berberet, 1960275, C|UT
Noah Denoyer, 29033790, P
Clayton McGinness, 28838885, P
Dameury Pena, 29662386, 2B|UT
Anthony Simonelli, 29360060, P
Ronald Shaban, 2121685, P
Donovan Casey, 2836702, OF|UT
Nash Knight, 2915690, 3B|UT
Paul Gervase, 29342262, P
Gage Boehm, 29676685, P
Dylan Neuse, 29342833, SS|UT
Bryant Betancourt, 29672109, C|UT
Jeison Guzman, 3151010, SS|UT
Mitch Nay, 2114651, 3B|UT
Danyer Sanabria, 28847206, OF|UT
Marcus Evey, 2932725, P
Rainel Rosario, 2223571, OF|UT
Garret Guillemette, 29342269, C|UT
Jose Cordoba, 29680494, OF|UT
Gerald Bautista, 2218069, 1B|UT
Zach Humphreys, 27022480, C|UT
Miguel Palma, 28837565, C|UT
Lamar Sparks, 2837543, OF|UT
Max Burt, 3157920, 3B|UT
Cornelius Randolph, 2184357, OF|UT
Samuel Holland, 2766488, P
Jay Gonzalez, 2823039, OF|UT
Darryl Collins, 26913034, OF|UT
Jay Harry, 29342832, SS|UT
Erubiel Armenta, 29084387, P
Chase Plymell, 29342326, P
Austin Cousino, 2169660, OF|UT
Keagan Gillies, 29342263, P
Alec Sole, 2171417, SS|UT
Ambioris Tavarez, 26913015, SS|UT
Carson Taylor, 3166654, 1B|UT
Dillon Persinger, 2837343, 2B|UT
Trever Allen, 2227123, OF|UT
Garrett Hiott, 28840772, OF|UT
Andrew Thurman, 2066808, P
Conor Harber, 3095384, P
Jose Alberto Rivera, 2830255, P
Baron Stuart, 29087589, P
Steve Berman, 3158103, C|UT
Eduard Pinto, 2171345, OF|UT
Nelson Ward, 2171392, SS|UT
Cody Satterwhite, 1733784, P
Reed Gragnani, 2169797, 2B|UT
Dimas Ojeda, 2756826, OF|UT
Nestor German, 29680188, P
Hunter Bishop, 3117482, OF|UT
Preston Palmeiro, 2506930, 1B|UT
Trey Cobb, 2836724, P
Braden Nett, 29660677, P
Richard Guasch, 29087583, P
Elvis Escobar, 2171039, P
Matthew Lugo, 3152107, OF|UT
Carlos Hiraldo, 2823417, P
Bobby Ison, 2171171, OF|UT
Juan Sanchez, 29085464, P
Javier Betancourt, 2121065, SS|UT
Luis Liberato, 2226053, OF|UT
Ian Leatherman, 28838277, P
Grant Fink, 2121914, 3B|UT
Evan Kruczynski, 2837098, P
Marcus Lemon, 1600291, SS|UT
Kadon Morton, 29085445, OF|UT
Ryan Williams, 2219911, P
Kevin McCanna, 3094728, P
Ben Brecht, 3152062, P
Cutter Coffey, 29075513, 3B|UT
John Norwood, 2797626, OF|UT
Wilber Sanchez, 28837107, SS|UT
Danny Diaz, 3077707, 3B|UT
Kyle Wilson, 2837696, P
Will Lamb, 2170005, P
Brett Adcock, 2910636, P
Riley Unroe, 2066826, 2B|UT
Ramon Benjamin, 1926952, P
RJ Petit, 29086759, P
Adam Maier, 29063927, P
Kevin Grendell, 2663787, P
Thomas Coyle, 2043828, 2B|UT
Alfredo Escalera-Maldonado, 2226045, OF|UT
Chase Luttrell, 29086776, OF|UT
Max Rajcic, 29075738, P
Justin Twine, 2167934, SS|UT
David Ellingson, 27022044, P
Luis Asuncion, 2227783, OF|UT
Tyler Guilfoil, 29295966, P
Cesar Gonzalez, 29321939, C|UT
Mike Papi, 2136394, OF|UT
Otto Kemp, 29658258, 3B|UT
Jose Fleury, 29321927, P
Dioris De La Rosa, 29662099, P
Tyler Herron, 29687777, C|UT
Logan Hill, 2915689, OF|UT
Joe Whitman, 29295988, P
Calvin Coker, 2932643, P
Austin Krob, 29332840, P
Mack Lemieux, 28839880, P
Luis Lara, 29077660, OF|UT
Nate Baez, 29686516, C|UT
Timothy Borden, 29090712, SS|UT
Brooks Kriske, 3107895, P
John Silviano, 2919896, 1B|UT
Benjamin Gross, 28837089, P
Luke Wakamatsu, 2226660, SS|UT
Cole Foster, 29321932, SS|UT
Keegan McGovern, 2932928, OF|UT
Hunter Jones, 2170301, OF|UT
Grant Heyman, 2915809, OF|UT
Jamison Hill, 29084176, P
Kyle Petty, 2803764, C|UT
Fraser Ellard, 29078828, P
Yhoangel Aponte, 29090711, OF|UT
Daniel Duarte, 3152767, P
Ross Kivett, 2170277, OF|UT
Ty Culbreth, 3108882, P
Joe Perez, 2837338, 3B|UT
Adam Scott, 2933090, P
Jose Paez, 2121529, OF|UT
Luis Curvelo, 28843014, P
Vince Arobio, 2836548, P
Chris Roller, 2837430, OF|UT
Leonardo Pestana, 29084159, P
Tre Gantt, 2836896, OF|UT
Garrett Schilling, 2837476, P
Joe DeCarlo, 2743632, C|UT
Joe Jackson, 2122085, C|UT
Ronny Brito, 2821686, 3B|UT
Dylan Thompson, 2211750, P
James Naile, 2739973, P
Connor Heady, 2836974, SS|UT
Yerry Rodriguez, 2825562, P
Travis Honeyman, 29321950, OF|UT
Justin Watts, 2837667, P
McCarthy Tatum, 28841148, 3B|UT
Connor Staine, 29075511, P
Jimmy Lambert, 3083186, P
Jared Kelley, 3168715, P
Daniel Suero, 2228501, OF|UT
Kevin Vicuna, 2746508, SS|UT
Fabian Pertuz, 2930993, 2B|UT
Matt McPhearson, 2226128, OF|UT
Marco Jimenez, 2829359, P
Oswaldo Osorio, 29086585, SS|UT
Grant Black, 29085020, P
KJ Harrison, 2910598, 1B|UT
Conor Grammes, 29075512, P
Peter Solomon, 2837538, P
Alex Clemmey, 29295954, P
Domingo Tapia, 1947849, P
Robert Robertis, 29091329, OF|UT
Danyer Cueva, 29077596, 2B|UT
Parks Harber, 29683710, 3B|UT
Juan Nunez, 29321997, P
Garrett Whitley, 2184449, OF|UT
Austin House, 2120054, P
Jimmy Endersby, 26912507, P
Justin Maese, 2453425, P
Jordan Harrison, 2120704, P
Wes Wilson, 2120729, C|UT
Daniel Gonzalez, 2915586, P
A.J. Blubaugh, 29330453, P
Nate Nolan, 2921569, C|UT
Brady Shoemaker, 1960273, OF|UT
Carter Stewart, 2942968, P
Adam Hofacket, 2739963, P
Dyan Jorge, 29077605, SS|UT
Joe Cronin, 3101464, SS|UT
Cesar Prieto, 28842426, 3B|UT
Nathan Rodriguez, 3094354, C|UT
Tyler Reichenborn, 28846864, OF|UT
Yorlin Calderon, 29087580, P
Didier Fuentes, 29660108, P
Cameron Schlittler, 29087628, P
Sergio Campana, 28846845, OF|UT
Theo Hardy, 29688605, SS|UT
John Wimmer, 29322048, SS|UT
Kyle Winkler, 2120761, P
Jake McCasland, 2921416, P
D'Andre Smith, 29360062, SS|UT
Reynaldo Rivera, 2837403, 1B|UT
Junior Fernandez, 2211785, P
Brent Headrick, 29033792, P
Curtis Washington, 29686502, OF|UT
Jawuan Harris, 2932800, OF|UT
Yhoswar Garcia, 26912468, OF|UT
Christian Marrero, 1740962, 1B|UT
Tim Arakawa, 2821277, 2B|UT
Bryan Valdez, 2826365, P
Brock Porter, 29075487, P
Lincoln Henzman, 2836982, P
Alec Gamboa, 29342260, P
Matt Custred, 3107698, P
Justin Ferrell, 3152777, P
Zach Kokoska, 29683787, OF|UT
T.J. Fondtain, 29679115, P
Grant Gambrell, 26615448, P
Anthony Stephan, 29686501, OF|UT
Paul Smyth, 2048866, P
Shawn Semple, 2837497, P
Kolton Ingram, 29033793, P
Eli Lingos, 3158105, P
Drew Weeks, 2226846, OF|UT
Dakota Harris, 29676048, SS|UT
Cole Stapler, 2837553, P
Odalvi Javier, 2823543, P
Adrian De Horta, 3108967, P
Jake Snider, 29360063, OF|UT
Jeff Boehm, 2227125, 2B|UT
Joshua Torres, 2921562, P
Rodolfo Martinez, 2507518, P
Ryan Murphy, 26724935, P
Jack Winkler, 29360069, SS|UT
Zach Fogell, 29341704, P
Juan Baez, 29321886, 3B|UT
Franklin Rollin, 2794807, 2B|UT
Kyle Lovelace, 27022481, C|UT
Demetrius Sims, 2837512, SS|UT
Amador Arias, 2828962, 3B|UT
Marco Dinges, 29686509, C|UT
Ryan Cusick, 26719661, P
William Lugo, 28846856, SS|UT
Noah Davis, 2932680, P
Yeison Santana, 2931045, SS|UT
Layant Tapia, 29090135, SS|UT
Telvin Nash, 1805143, UT
Logan Taylor, 2837592, OF|UT
Cody Regis, 2228216, OF|UT
Robbie Podorsky, 2837353, OF|UT
Brandon Macias, 2044118, SS|UT
Paul Hendrix, 2121075, SS|UT
Erik Martinez, 29345796, P
Justin Evans, 2932723, P
Eric Reyzelman, 29671080, P
Brewer Hicklen, 2836989, OF|UT
Austin Callahan, 28850998, 3B|UT
Tyler Osik, 2837312, 3B|UT
Samuel Zavala, 26913054, OF|UT
Andres Nunez, 28838305, P
Nixon Encarnacion, 29077674, P
Tyler Wilson, 29683719, OF|UT
Collin Wiles, 2227481, P
Robert Moore, 29075758, SS|UT
Jeff Lindgren, 29085037, P
Jared Foster, 2226043, OF|UT
Yeury Gervacio, 29085029, P
Matt Canterino, 3151907, P
Josh Bissonette, 28840672, 2B|UT
Antonio Knowles, 29089077, P
Arturo Michelena, 2824422, 2B|UT
Jeff Kemp, 2794536, SS|UT
Santiago Suarez, 29322026, P
Niko Decolati, 2932692, OF|UT
Luis Durango, 29087646, OF|UT
Eddys Leonard, 26762050, SS|UT
Seth Keener, 29321959, P
Dugan Darnell, 29085023, P
Fabian Lopez, 29321976, SS|UT
Miguel Pena, 2119051, P
John O'Reilly, 3158354, P
Duncan Pastore, 29683713, 3B|UT
Alvin Guzman, 28842605, OF|UT
Braylon Doughty, 29644469, P
Luis Devers, 29077661, P
Mark Montgomery, 1958828, P
Ryan Fitzgerald, 2931940, 2B|UT
Andrew Ely, 2804020, 2B|UT
Anthony Hall, 29073329, OF|UT
Casey Schroeder, 2798060, C|UT
Luis Perales, 29077662, P
Joseph Monge, 2223640, OF|UT
Joswa Lugo, 29662456, SS|UT
Jake Cosart, 2822133, P
Joshua Cornielly, 26615426, P
Ethan Hearn, 26615316, C|UT
Carlos Cortes, 2932653, OF|UT
Seth Johnson, 3117940, P
Jordy Barley, 2910614, SS|UT
Drew Beam, 29644463, P
Nick Patten, 3103669, 1B|UT
David Gerber, 2836910, P
Nathanael Heredia, 29077669, P
Matt Ager, 29644461, P
Riley Tirotta, 28843226, 1B|UT
Will Mabrey, 29349515, P
Pat Blair, 2171827, 3B|UT
Miguel Rosario, 2739975, P
Caleb Sampen, 2933074, P
Manuel Castro, 29676026, P
Boston Bateman, 29644462, P
Elvis Perez, 2825023, SS|UT
Angel Mendoza, 29089624, OF|UT
Tim Smalling, 2050363, SS|UT
Alejandro Lugo, 29687796, P
Ayden Johnson, 29669158, SS|UT
Troy Bacon, 2836558, P
Jonathan Piron, 2228439, 2B|UT
Luis Serna, 29077663, P
Griffin Herring, 29644474, P
Kyle Hess, 29683711, OF|UT
Auston Bousfield, 2170719, OF|UT
Ranyelmy Mendoza, 2119343, OF|UT
Hyun-Seok Jang, 29321952, P
Jacob Burke, 29295915, OF|UT
Stephen Kohlscheen, 2050506, P
Hunter Breault, 29085021, P
Yohander Martinez, 28838046, SS|UT
Victor Mesa Jr., 3077715, OF|UT
Brendan Nail, 2876703, P
Deniel Ortiz, 29683712, 3B|UT
Lenny Torres, 2932060, P
Randy Reyes, 2171286, OF|UT
Alex Rao, 29349534, P
Naibel Mariano, 29662445, SS|UT
Austin Fisher, 2171338, SS|UT
Connor Prielipp, 29075510, P
Jorge Burgos, 29085022, OF|UT
Jacob Teter, 28840174, 1B|UT
Zyhir Hope, 29321951, OF|UT
Tyler Bradt, 29681597, P
Scott Blewett, 2167478, P
Casey Saucke, 29644446, OF|UT
Brendon Little, 2835083, P
George Lombard, 29153558, SS|UT
Ademar Rifaela, 2915613, OF|UT
Carlos Sanchez, 29322017, SS|UT
Reid Morgan, 29682371, P
Angel Chivilli, 29290962, P
Marcus Mack, 2775049, P
Anthony Block, 29686497, P
Eric Silva, 26911785, P
Joshua Walker, 26912491, P
Anfernee Seymour, 2211806, OF|UT
Jesus Parra, 26615339, 3B|UT
Jesus Rodriguez, 29084372, C|UT
Leonardo Bernal, 29077655, C|UT
James Smith, 3103644, OF|UT
Alonzo Richardson, 29682364, P
Chandler Champlain, 29077339, P
Nasim Nunez, 3152110, SS|UT
Andrew Dalquist, 26615417, P
Alan Busenitz, 2228457, P
Felix Negueis, 29084371, OF|UT
Engelth Urena, 29662390, 1B|UT
Alex Dunlap, 2836829, C|UT
Teddy Stankiewicz, 2066812, P
Kenyon Yovan, 29082790, P
Juan Silva, 2050370, OF|UT
Tyson Miller, 3151013, P
Tim Roberson, 1963317, C|UT
Luke Burch, 2836669, OF|UT
Logan Lombana, 2921611, P
Blake Bass, 3104014, P
Blaze Jordan, 26615331, 3B|UT
Moises Lugo, 2830240, P
Aaron Leasher, 2837116, P
Tony Blanco, 29321892, 1B|UT
Connor Kokx, 28838069, OF|UT
John Omahen, 2170033, P
Manuel Melendez, 2804239, OF|UT
Jordan Pries, 2166761, P
Misael Urbina, 3152054, OF|UT
K.C. Hobson, 2227066, 1B|UT
Bjay Cooke, 29087661, SS|UT
Eddy Diaz, 2859087, 2B|UT
Dayner Moreira, 2226791, 2B|UT
Kale Emshoff, 27022496, C|UT
Brainer Bonaci, 26913004, SS|UT
Julio Carreras, 26615332, SS|UT
Confesor Lara, 2223334, P
Chase Costello, 29676017, P
Eric Bitonti, 29321891, 3B|UT
Connor McKay, 2227753, OF|UT
Brayan Morales, 2920934, OF|UT
Todd Isaacs, 2759862, OF|UT
Riley Delgado, 2836798, SS|UT
Corey Jones, 1810384, 2B|UT
Kyle Dernedde, 29682356, 2B|UT
Javier Valdes, 29085266, C|UT
Kade Strowd, 29080193, P
Ryan Lawlor, 3158298, P
Jonah Advincula, 29680248, OF|UT
Dalton Moats, 3086103, P
Drue Hackenberg, 29295940, P
Maikol Hernandez, 26643938, 3B|UT
Andrew Wantz, 2933184, P
Skylar Arias, 3158100, P
Kole Enright, 2506933, OF|UT
Kaleb Fleck, 2049827, P
Luis Silva, 2791774, 2B|UT
Daniel Tillo, 2837604, P
Freddy Zamora, 26615350, SS|UT
Sicnarf Loopstok, 2228481, C|UT
Brett Auerbach, 26912422, 2B|UT
Alejandro Rosario, 29383722, P
Eric De La Rosa, 2932685, OF|UT
Sammy Faltine, 29360028, 2B|UT
Tristan Peters, 29077350, OF|UT
Kade McClure, 2837196, P
Jose Velez, 2227745, P
Tyler Mizenko, 2227792, P
Lorenzo Cedrola, 2507495, OF|UT
Calvin Harris, 29321944, C|UT
Jorge Reyes, 1946523, P
Chase Johnson-Mullins, 2227623, P
Collin Theroux, 2804025, C|UT
Andrew Robinson, 2121833, P
Matt Tabor, 2837585, P
Matt Eckelman, 3095354, P
Quinn McDaniel, 29689632, 2B|UT
Stuart Levy, 2804676, C|UT
Kale Fountain, 29644428, 3B|UT
Hendry Mendez, 26913043, OF|UT
Kyle Brnovich, 29342235, P
Griffin Lockwood-Powell, 29342451, 1B|UT
Jack Conley, 29082622, C|UT
Brian Holmes, 2615375, P
Andrew Daschbach, 3157968, 1B|UT
Miguel Pabon, 28837129, SS|UT
Jose Medina, 2227216, OF|UT
Danny Oh, 2223645, OF|UT
Gavin Logan, 29342452, C|UT
Matt Ruppenthal, 28838283, P
Robert Benincasa, 2120238, P
Drew Turbin, 2226886, 2B|UT
J.C. Escarra, 3096077, C|UT
Mason House, 2837009, OF|UT
C.J. McElroy, 2044904, OF|UT
Luis Santana, 2825773, 2B|UT
Yonathan Mendoza, 2171383, 3B|UT
Joe Gray, 2931953, OF|UT
Will Wilson, 3117912, SS|UT
Jacob Miller, 29075708, P
Jean Reyes, 29689594, P
Juan Paniagua, 2044486, P
Bo Davidson, 29476192, OF|UT
Spencer Giesting, 29632438, P
Jeremy Rivera, 2227780, SS|UT
Jan Mercado, 2837220, C|UT
Raul Alcantara, 29342993, P
Andrew Perez, 2933007, P
Brandon Neeck, 29676107, P
Jonathan Hughes, 29342430, P
Manny Rodriguez, 2933059, SS|UT
Jack Wenninger, 29658267, P
Moises Chace, 29476191, P
Byron Chourio, 29321909, OF|UT
Edwuin Bencomo, 2821515, P
Dario Gardea, 29084586, P
Julio Meza, 2829076, C|UT
Emmanuel Ramirez, 2825247, P
Joel Booker, 2919931, OF|UT
Mitch Roman, 2919942, SS|UT
Seth Varner, 2826423, P
Levi Sterling, 29644498, P
Marty Costes, 2836751, OF|UT
Rob Rogers, 2226606, P
Shannon Wilkerson, 1741692, OF|UT
Elih Marrero, 2932914, C|UT
Jordan Gore, 2836931, SS|UT
Matt Minnick, 28838281, P
Michael Cantu, 2876244, C|UT
Willy Paredes, 2113501, P
Matt Marsh, 2739970, P
Junior Marin, 26913042, OF|UT
Johan Cruz, 2211753, SS|UT
Diosbel Arias, 2870680, 2B|UT
Josh Hart, 2066706, OF|UT
Kelson Brown, 1960260, SS|UT
Sam Benschoter, 29675787, P
Quentin Holmes, 2837002, OF|UT
Lucas Gilbreath, 2836915, P
Kyri Washington, 2507194, OF|UT
Yordalin Pena, 29680226, OF|UT
Greg Jones, 3117919, OF|UT
Mason Green, 29679369, P
Frank Perez, 28838282, OF|UT
Justin Yurchak, 2837713, 1B|UT
Isaias Quiroz, 3158251, C|UT
Tristan Stivors, 29089080, P
Abdiel Mendoza, 2824379, P
D.J. Artis, 28837121, OF|UT
Tucker Healy, 2169711, P
Rafael P Valera, 2800872, 2B|UT
Brendan Beck, 26911800, P
Andy Thomas, 29082623, C|UT
Michael Cuevas, 29692375, P
Bryce Warrecker, 29342364, P
Garrett Schoenle, 2837481, P
Jakob Hernandez, 2836983, P
Reid Schaller, 2933085, P
Luis Flores, 2114633, C|UT
JJ Muno, 2837271, 2B|UT
Connor Johnstone, 3094394, P
Cody Beckman, 2836587, P
Jack Little, 29669222, P
Jefry Yan, 2858767, P
Jeff Ibarra, 2228196, P
Chase Solesky, 29342345, P
Jon Keller, 2169273, P
Raywilly Gomez, 2218065, C|UT
Todd Glaesmann, 1954083, OF|UT
Zane Evans, 2169015, C|UT
Kyle Roller, 2040759, 1B|UT
Bryce Collins, 29683783, P
Shawn Dubin, 2932704, P
Michael Rivera, 2837402, C|UT
Seaver King, 29426039, SS|UT
David Thompson, 2766204, 3B|UT
Florencio Serrano, 29675460, P
Eric Wood, 2171091, 3B|UT
Eddy Martinez, 2218322, OF|UT
Radley Haddad, 2122214, C|UT
Nate Tenbrink, 2048689, 3B|UT
Angel Zarate, 29086588, OF|UT
Freili Encarnacion, 29685394, 3B|UT
Jimmy Reyes, 2052592, P
Micah Pries, 28851016, OF|UT
Casey Cook, 29658246, 2B|UT
Jeremy Eierman, 2931937, SS|UT
Daniel Camarena, 2693898, P
Brandon Wagner, 3095754, 3B|UT
Leonardo Rodriguez, 2829122, P
John Rave, 26615386, OF|UT
Dauri Lorenzo, 26912509, 2B|UT
Henry Williams, 29075698, P
Brad Haynal, 2223637, C|UT
Jon Rosoff, 28839436, C|UT
Wilderd Patino, 26615368, OF|UT
Marcus Lee Sang, 28841145, OF|UT
Elio Prado, 29679124, OF|UT
Joey Gerber, 2932761, P
Sammy Siani, 3117937, OF|UT
Tate Matheny, 2739962, OF|UT
Michael Osinski, 2837313, 3B|UT
Juan Mendez, 29686468, P
Rafael Marchan, 2824077, C|UT
Tyler Thornton, 29342356, P
Kaelen Culpepper, 29426050, SS|UT
Sam Bragg, 2772999, P
Brice Matthews, 29153560, SS|UT
Trevor Lane, 2915876, P
J.T. Hintzen, 2932818, P
Sergio Tapia, 29088495, C|UT
Anthony Churlin, 2921363, OF|UT
Derek Clark, 29692343, P
Sterling Romero, 29088946, OF|UT
Nicolas Torres, 2829161, 3B|UT
Ali Castillo, 2048857, 2B|UT
Jose Gomez, 2227774, 2B|UT
Lisandro Santos, 2825801, P
Johan Quezada, 2825211, P
Jason Richman, 2775050, P
Carson Coleman, 28840202, P
Christopher Troye, 29360067, P
Jordan Guerrero, 2217334, P
Lucas Spence, 29685324, OF|UT
Junior Arrojo, 2821326, 2B|UT
Dom Johnson, 29086554, OF|UT
Tyler Davis, 29684940, P
Eli Serrano, 29658026, OF|UT
Kyle Henley, 29658255, OF|UT
Bill Knight, 29090869, OF|UT
Josh Simpson, 29033797, P
Matt Hearn, 3103547, OF|UT
Isaiah Lowe, 29295985, P
Justin Garza, 26686322, P
Jordan Procyshen, 2624305, C|UT
Will Allen, 2222106, C|UT
Will Bartlett, 28840201, C|UT
Drew Mendoza, 3158360, 3B|UT
Josh Moylan, 29683435, 1B|UT
Jack Rogers, 28841050, OF|UT
Robert Perez, 2829104, 1B|UT
Justin Garza, 29038837, P
Jose Cabrera, 29675814, P
Jose Pastrano, 28842470, SS|UT
Julio Pinto, 3158468, P
Christian Donahue, 2923056, 2B|UT
Damek Tomscha, 2921563, 1B|UT
Anthony Rodriguez, 26912850, 3B|UT
Joshua Day, 29084199, SS|UT
Tim Elliott, 26615436, P
Nathan Church, 29084550, OF|UT
Kit Scheetz, 3093905, P
Ramon Rodriguez, 3107611, C|UT
Aaron Holiday, 29085945, P
Bryce Cunningham, 29644467, P
Mel Rojas, 1803846, OF|UT
Jaylen Nowlin, 29676976, P
Bear Bellomy, 29088484, P
Gage Hinsz, 2453281, P
James Kennedy, 2227981, C|UT
Ryan Metzler, 3101500, 3B|UT
Edward Salcedo, 1811883, OF|UT
Freicer Perez, 2825029, P
Anthony Pereira, 2825004, SS|UT
John Gavin, 2836908, P
Eduardo Tait, 29322036, C|UT
Tucker Neuhaus, 2066837, SS|UT
Chris DeVito, 2921528, 1B|UT
Dylan Burdeaux, 2836670, 1B|UT
C.J. Kayfus, 29321957, 1B|UT
Jon Harris, 2211225, P
Sharif Othman, 2167496, C|UT
Wyatt Hendrie, 29085033, C|UT
Cal Stark, 29686891, C|UT
Wesley Moore, 29675796, P
Brett Schulze, 29091330, P
Luis Morales, 29321990, P
Cole Daily, 29089056, SS|UT
Adam Smith, 29683717, P
Chase McDonald, 2803409, 1B|UT
Caleb Adams, 2226042, OF|UT
Troy Miller, 29085039, P
Myles Schroder, 2120612, C|UT
Caleb Farmer, 29085027, C|UT
Henry Pujols, 2825198, 3B|UT
Seth Mayberry, 29089079, P
Sean Donatello, 2121470, P
Omar Alfonzo, 29092513, C|UT
Erick Torres, 29686892, C|UT
Tyler Esplin, 2836846, OF|UT
A.J. Vanegas, 2228220, P
Chase Jensen, 2122082, 3B|UT
Ryan Spikes, 26911675, 2B|UT
Ben Harris, 29085032, P
Jorge Benitez, 2836598, P
Max Kranick, 3166983, P
Daniel Montano, 2768557, OF|UT
Nick Hernandez, 2791374, P
Jake Reindl, 2933040, P
Wade Stauss, 29077091, C|UT
Derek West, 29084533, P
Hill Alexander, 28838270, OF|UT
A.J. Simcox, 2740130, SS|UT
Victor Garcia, 29686899, P
Braiden Ward, 28837775, OF|UT
Robert Neustrom, 2932972, OF|UT
Domingo Gonzalez, 29085031, P
Hamlet Marte, 2218073, C|UT
Carlos Romero, 2835042, P
Adonys Cardona, 1987620, P
Art Charles, 2766620, 1B|UT
Clayton Daniel, 3157029, 2B|UT
Gene Escat, 2169990, P
Dalton Guthrie, 2836950, OF|UT
Abiezel Ramirez, 2829405, SS|UT
Juan Sandoval, 1200837, P
Omar Hernandez, 29090984, C|UT
Austin Athmann, 2915685, C|UT
Kyle Wilcox, 29085050, P
Spencer Bivens, 29086793, P
Luis Lopez, 3108232, SS|UT
Patrick Clohisy, 29676688, OF|UT
Robert Puason, 3151912, 2B|UT
